width_bits,n,k,mode,build_s,build_mem_kb,root_s,root_mem_kb,proof_s,proof_mem_kb,verify_s,verify_mem_kb,proof_size_bytes,verify_ok,compute_s
4,4096,1,pippenger,1.0689581220003674,3143.96484375,11.208823146999748,1170.3837890625,1.5081021409996538,636.1943359375,0.050414498000463936,38.021484375,176,True,
4,4096,100,pippenger,1.00254336099988,3138.291015625,9.719680807999794,1165.880859375,3.095643191999443,2519.6982421875,0.2556147079994844,367.6494140625,4448,True,
4,4096,1000,pippenger,0.7459261220001281,3138.291015625,9.402808773999823,1166.5537109375,10.836783908999678,8646.517578125,1.401312801000131,2042.8623046875,14192,True,
4,4096,5000,pippenger,0.9418044009998994,3138.291015625,9.654709446999732,1165.880859375,32.722871467000004,20361.9931640625,5.258623282999906,6282.5986328125,18080,True,
4,16384,1,pippenger,4.5573117750000165,13729.8837890625,41.578197454000474,1808.806640625,1.4495619070003158,628.1435546875,0.015969899000083387,32.083984375,176,True,
4,16384,100,pippenger,3.9438519490004182,13729.8837890625,38.43648101500003,1808.806640625,3.348585005000132,2804.201171875,0.3313069229998291,396.4521484375,5168,True,
4,16384,1000,pippenger,3.596004750999782,13729.8837890625,42.28791918499974,1808.806640625,11.616576923000139,11481.5625,2.0331989559999784,2371.177734375,21488,True,
4,16384,5000,pippenger,3.8650496259997453,13729.8837890625,41.11997014000008,1808.806640625,49.57231196399971,37863.107421875,7.426209011000537,8326.7001953125,57632,True,
8,4096,1,pippenger,0.9044050949996745,3141.0107421875,9.226110858000538,1168.0869140625,1.342478738999489,632.9599609375,0.03352150299997447,37.177734375,176,True,
8,4096,100,pippenger,0.6633178689999113,3138.259765625,9.057746825000322,1165.880859375,2.715200270999958,2519.6982421875,0.2327191230006065,367.6494140625,4448,True,
8,4096,1000,pippenger,0.7835189779998473,3138.291015625,8.66035185599958,1165.880859375,9.822354085999905,8645.6904296875,1.3735425770000802,2042.8623046875,14192,True,
8,4096,5000,pippenger,0.7705868349994489,3138.291015625,10.32200061399999,1165.880859375,36.10413602599965,20361.9931640625,5.5797399289995155,6282.5986328125,18080,True,
8,16384,1,pippenger,3.7603019140005927,13729.8837890625,42.508665631999975,1808.806640625,1.4771936399993137,628.1435546875,0.014085499999964668,32.083984375,176,True,
8,16384,100,pippenger,3.7674336190002577,13729.8837890625,40.63115528700018,1808.806640625,3.6813408280004296,2804.201171875,0.3452735589999065,396.4521484375,5168,True,
8,16384,1000,pippenger,3.9598151509999298,13729.8837890625,36.0686290120002,1808.806640625,12.019977181000286,11481.5625,2.0373445200002607,2371.0732421875,21488,True,
8,16384,5000,pippenger,4.503956884999752,13729.8837890625,40.950634834000084,1808.806640625,50.58486257799996,37863.107421875,6.8818975030008005,8326.7001953125,57632,True,
16,4096,1,pippenger,0.895666397000241,3141.0107421875,9.630398553000305,1168.0869140625,1.447769270000208,632.9599609375,0.06982441099989956,37.177734375,176,True,
16,4096,100,pippenger,1.186175386999821,3138.259765625,9.535198603000026,1165.880859375,2.771809396000208,2519.6982421875,0.21999629199945048,367.6494140625,4448,True,
16,4096,1000,pippenger,0.9542422639997312,3138.291015625,9.208319934999963,1165.880859375,11.778078548999474,8645.6904296875,1.7735961289999977,2042.8623046875,14192,True,
16,4096,5000,pippenger,0.8707488850004665,3138.291015625,9.880788333000055,1165.880859375,29.60287483799948,20361.9931640625,4.465393026999664,6282.5986328125,18080,True,
16,16384,1,pippenger,2.97109671599992,13729.8837890625,38.14103983199948,1808.806640625,1.4275139690007563,628.1435546875,0.012690900000052352,32.083984375,176,True,
16,16384,100,pippenger,3.3711484479999854,13729.8837890625,42.937132172999554,1808.806640625,3.339637447000314,2804.201171875,0.21563950299969292,396.4521484375,5168,True,
16,16384,1000,pippenger,4.145450156000152,13729.8837890625,43.526223979999486,1808.806640625,12.556236446000185,11481.5625,1.8076207610001802,2371.0732421875,21488,True,
16,16384,5000,pippenger,3.5605992559994775,13729.8837890625,40.75737233000018,1808.806640625,50.9103242049996,37863.107421875,7.708355711999502,8326.7001953125,57632,True,
